# time  ID  size  fromHost  toHost  TTL  isResponse
11431.0000 M161 843511 p21 c39 n/a N 
11471.0000 M162 581603 w62 w55 n/a N 
11550.0000 M163 132181 p22 p20 n/a N 
11660.0000 M164 538653 p29 c43 n/a N 
11702.0000 M165 902679 p18 t92 n/a N 
11794.0000 M166 947953 t87 w58 n/a N 
11836.0000 M167 401515 p19 t97 n/a N 
11898.0000 M168 898346 c45 p11 n/a N 
11984.0000 M169 961977 t95 t98 n/a N 
12076.0000 M170 469405 t81 p16 n/a N 
12187.0000 M171 515476 c32 p25 n/a N 
12285.0000 M172 514185 p8 w78 n/a N 
12403.0000 M173 968406 c46 w55 n/a N 
12441.0000 M174 726918 p14 t86 n/a N 
12500.0000 M175 57365 c53 p28 n/a N 
12564.0000 M176 620135 w75 p1 n/a N 
12658.0000 M177 77298 t86 t88 n/a N 
12753.0000 M178 648394 w66 p9 n/a N 
12828.0000 M179 73479 c44 p22 n/a N 
12909.0000 M180 207572 c30 c53 n/a N 
12985.0000 M181 990710 p17 p4 n/a N 
13097.0000 M182 100103 p19 c40 n/a N 
13152.0000 M183 89230 c48 t80 n/a N 
13220.0000 M184 873085 w76 p14 n/a N 
13255.0000 M185 737335 w70 c40 n/a N 
13322.0000 M186 532812 c40 t81 n/a N 
13441.0000 M187 626547 c35 w66 n/a N 
13485.0000 M188 884866 c48 p25 n/a N 
13537.0000 M189 736985 p13 t87 n/a N 
13635.0000 M190 947020 p19 t99 n/a N 
13742.0000 M191 533643 p2 p25 n/a N 
13790.0000 M192 858399 t81 c43 n/a N 
13824.0000 M193 87123 w67 t86 n/a N 
13851.0000 M194 567519 p28 p11 n/a N 
13947.0000 M195 799359 c47 w69 n/a N 
14058.0000 M196 161202 p4 w65 n/a N 
14159.0000 M197 516894 p27 c46 n/a N 
14188.0000 M198 911777 p19 c47 n/a N 
14296.0000 M199 968739 c34 p26 n/a N 
14373.0000 M200 63084 w62 c43 n/a N 
14408.0000 M201 725333 p1 t92 n/a N 
14519.0000 M202 718233 c48 w56 n/a N 
14620.0000 M203 743442 p25 p24 n/a N 
14664.0000 M204 405499 c32 w75 n/a N 
14765.0000 M205 424107 c42 p21 n/a N 
14863.0000 M206 50272 c34 t97 n/a N 
14892.0000 M207 623620 p21 w66 n/a N 
14998.0000 M208 811998 w70 w75 n/a N 
15087.0000 M209 260776 p7 t90 n/a N 
15136.0000 M210 87880 w55 t94 n/a N 
15194.0000 M211 358526 w57 c50 n/a N 
15262.0000 M212 657801 c45 c54 n/a N 
15287.0000 M213 164326 p15 p18 n/a N 
15388.0000 M214 620678 t85 c54 n/a N 
15439.0000 M215 627498 c50 p16 n/a N 
15530.0000 M216 334782 c42 w66 n/a N 
15608.0000 M217 517871 w68 p23 n/a N 
15682.0000 M218 317082 p8 c53 n/a N 
15781.0000 M219 106115 t81 w65 n/a N 
15898.0000 M220 534703 w66 p18 n/a N 
15954.0000 M221 155694 w65 w69 n/a N 
16003.0000 M222 158392 t96 c35 n/a N 
16047.0000 M223 528819 w58 c33 n/a N 
16072.0000 M224 551070 t87 p12 n/a N 
16171.0000 M225 195165 w60 p13 n/a N 
16249.0000 M226 249698 c50 w72 n/a N 
16295.0000 M227 860020 w57 c49 n/a N 
16383.0000 M228 906879 p0 t92 n/a N 
16480.0000 M229 54168 p8 c34 n/a N 
16589.0000 M230 808218 w67 c46 n/a N 
16708.0000 M231 761970 p27 w58 n/a N 
16795.0000 M232 433283 c52 p10 n/a N 
16897.0000 M233 902295 c51 c46 n/a N 
16957.0000 M234 355588 c34 p20 n/a N 
17028.0000 M235 573622 w57 p19 n/a N 
17130.0000 M236 171246 p26 t92 n/a N 
17207.0000 M237 132615 c44 p5 n/a N 
17284.0000 M238 998960 t97 w79 n/a N 
17352.0000 M239 76827 p23 w69 n/a N 
17465.0000 M240 576546 t87 c52 n/a N 
17555.0000 M241 963264 p26 w56 n/a N 
17596.0000 M242 924947 c43 w60 n/a N 
17700.0000 M243 640492 c45 p9 n/a N 
17752.0000 M244 859312 t82 w69 n/a N 
17816.0000 M245 218575 c42 c39 n/a N 
17910.0000 M246 331182 t91 p3 n/a N 
17969.0000 M247 910867 p21 w75 n/a N 
18032.0000 M248 376525 w61 p1 n/a N 
18121.0000 M249 749613 w55 c34 n/a N 
18189.0000 M250 625828 w66 w73 n/a N 
18274.0000 M251 432315 w62 c52 n/a N 
18334.0000 M252 890713 c36 w75 n/a N 
18388.0000 M253 955781 w72 p26 n/a N 
18431.0000 M254 216360 p8 p9 n/a N 
18461.0000 M255 572061 t85 w56 n/a N 
18540.0000 M256 683113 w57 t94 n/a N 
18642.0000 M257 561089 p0 p3 n/a N 
18760.0000 M258 986796 t95 c46 n/a N 
18824.0000 M259 758758 p6 w60 n/a N 
18919.0000 M260 942685 t94 t91 n/a N 
19023.0000 M261 428428 c36 p7 n/a N 
19052.0000 M262 630322 w77 c42 n/a N 
19163.0000 M263 567470 c47 w73 n/a N 
19195.0000 M264 530265 w61 c50 n/a N 
19242.0000 M265 639984 w76 t93 n/a N 
19332.0000 M266 861949 p2 t88 n/a N 
19419.0000 M267 720993 w55 w62 n/a N 
19535.0000 M268 679184 p2 p5 n/a N 
19582.0000 M269 208265 c33 w74 n/a N 
19687.0000 M270 183488 w66 c30 n/a N 
19774.0000 M271 844505 t84 w68 n/a N 
19834.0000 M272 291683 c34 w70 n/a N 
19890.0000 M273 261903 c51 w63 n/a N 
20008.0000 M274 85548 p10 t86 n/a N 
20069.0000 M275 671761 w60 w68 n/a N 
20110.0000 M276 680534 w60 p12 n/a N 
20203.0000 M277 701855 c51 w68 n/a N 
20318.0000 M278 302565 c47 p0 n/a N 
20405.0000 M279 311539 w70 p11 n/a N 
20456.0000 M280 294410 w71 w61 n/a N 
20542.0000 M281 463025 c33 t81 n/a N 
20596.0000 M282 709005 w63 c33 n/a N 
20646.0000 M283 935433 p25 p12 n/a N 
20704.0000 M284 366370 p18 w68 n/a N 
20785.0000 M285 116882 t83 c43 n/a N 
20848.0000 M286 51063 t83 c36 n/a N 
20881.0000 M287 269294 p7 t92 n/a N 
20986.0000 M288 745697 c45 w64 n/a N 
21066.0000 M289 126507 p14 c47 n/a N 
21132.0000 M290 362068 c35 t88 n/a N 
21205.0000 M291 934622 p26 t92 n/a N 
21297.0000 M292 168170 t90 w70 n/a N 
21391.0000 M293 329575 c39 p12 n/a N 
21455.0000 M294 191128 p6 c44 n/a N 
21570.0000 M295 407121 t82 w56 n/a N 
21596.0000 M296 261182 c44 w79 n/a N 
21713.0000 M297 438080 w63 p28 n/a N 
21752.0000 M298 728133 t80 p16 n/a N 
21799.0000 M299 225843 w64 p14 n/a N 
21869.0000 M300 196016 w56 p18 n/a N 
21960.0000 M301 238465 c33 t80 n/a N 
22078.0000 M302 734205 w66 p29 n/a N 
22135.0000 M303 59101 w63 t88 n/a N 
22232.0000 M304 162931 c40 t93 n/a N 
22282.0000 M305 835380 p27 c46 n/a N 
22336.0000 M306 595636 c31 w56 n/a N 
22441.0000 M307 874428 t89 p12 n/a N 
22500.0000 M308 771306 p17 w67 n/a N 
22551.0000 M309 285621 c47 p9 n/a N 
22640.0000 M310 150314 p13 c53 n/a N 
22672.0000 M311 505865 p22 c34 n/a N 
22707.0000 M312 642326 t96 p6 n/a N 
22794.0000 M313 890940 p25 t96 n/a N 
22883.0000 M314 206276 t83 t81 n/a N 
22965.0000 M315 459566 w75 p4 n/a N 
23061.0000 M316 369098 t93 c30 n/a N 
23167.0000 M317 181510 c35 p0 n/a N 
23256.0000 M318 450740 p8 c52 n/a N 
23355.0000 M319 825542 w67 t84 n/a N 
23410.0000 M320 274569 w57 p7 n/a N 
23439.0000 M321 874443 p7 t94 n/a N 
23536.0000 M322 76491 t89 w59 n/a N 
23599.0000 M323 996572 w73 w68 n/a N 
23708.0000 M324 711941 t88 t82 n/a N 
23822.0000 M325 128152 p12 p26 n/a N 
23866.0000 M326 594749 c30 p9 n/a N 
23945.0000 M327 334762 t99 t89 n/a N 
24062.0000 M328 801809 t90 c31 n/a N 
24145.0000 M329 648646 w57 w64 n/a N 
24235.0000 M330 337771 p17 t85 n/a N 
24321.0000 M331 975771 c35 t86 n/a N 
24351.0000 M332 205103 p29 t96 n/a N 
24424.0000 M333 82384 c47 c37 n/a N 
24533.0000 M334 951482 c32 c33 n/a N 
24626.0000 M335 313384 t97 w64 n/a N 
24722.0000 M336 966002 t88 t99 n/a N 
24777.0000 M337 491728 c49 p18 n/a N 
24816.0000 M338 612810 t82 t99 n/a N 
24885.0000 M339 434014 c45 w60 n/a N 
24926.0000 M340 706924 p29 p15 n/a N 
25026.0000 M341 617409 w78 w75 n/a N 
25113.0000 M342 438702 w66 c47 n/a N 
25171.0000 M343 73045 p12 w67 n/a N 
25238.0000 M344 809440 c39 w75 n/a N 
25287.0000 M345 357086 p12 w60 n/a N 
25399.0000 M346 393194 c49 w74 n/a N 
25502.0000 M347 59161 p12 t88 n/a N 
25600.0000 M348 775168 t80 w64 n/a N 
25686.0000 M349 287040 t90 p18 n/a N 
25763.0000 M350 415775 t99 c52 n/a N 
25880.0000 M351 703780 c50 c37 n/a N 
25909.0000 M352 759615 c54 t86 n/a N 
25980.0000 M353 57666 c39 w62 n/a N 
26006.0000 M354 940721 c50 t96 n/a N 
26101.0000 M355 305112 c53 t85 n/a N 
26147.0000 M356 156822 c38 w59 n/a N 
26235.0000 M357 599507 w60 p0 n/a N 
26321.0000 M358 619404 p16 p4 n/a N 
26420.0000 M359 345059 w57 c34 n/a N 
26527.0000 M360 859702 t85 t98 n/a N 
26553.0000 M361 945389 t80 p7 n/a N 
26664.0000 M362 536045 w78 c40 n/a N 
26770.0000 M363 654218 c39 w57 n/a N 
26840.0000 M364 854121 c42 p12 n/a N 
26910.0000 M365 327987 c36 w61 n/a N 
26969.0000 M366 469717 c54 c52 n/a N 
27042.0000 M367 962484 t93 p2 n/a N 
27089.0000 M368 454510 p27 w59 n/a N 
27206.0000 M369 252700 p26 c34 n/a N 
27274.0000 M370 814692 w63 p10 n/a N 
27391.0000 M371 589515 p9 c42 n/a N 
27502.0000 M372 661112 p8 t89 n/a N 
27535.0000 M373 918051 t89 w68 n/a N 
27582.0000 M374 803708 w62 t81 n/a N 
27629.0000 M375 243496 t92 w68 n/a N 
27690.0000 M376 870581 p17 t85 n/a N 
27783.0000 M377 572431 c41 p1 n/a N 
27855.0000 M378 946700 w64 t82 n/a N 
27929.0000 M379 974641 t85 w79 n/a N 
27954.0000 M380 820648 w79 p9 n/a N 
27982.0000 M381 771273 p13 c36 n/a N 
28065.0000 M382 818197 c33 t93 n/a N 
28105.0000 M383 303537 p14 p1 n/a N 
28206.0000 M384 441231 c34 w67 n/a N 
28266.0000 M385 506537 w67 w68 n/a N 
28319.0000 M386 927335 p14 c40 n/a N 
28383.0000 M387 778832 c30 w76 n/a N 
28498.0000 M388 75788 c35 t83 n/a N 
28554.0000 M389 681208 w55 w74 n/a N 
28662.0000 M390 546451 p18 p9 n/a N 
28718.0000 M391 687845 w66 c32 n/a N 
28820.0000 M392 307248 c39 p18 n/a N 
28884.0000 M393 121454 p25 p2 n/a N 
28971.0000 M394 111466 p8 w72 n/a N 
29004.0000 M395 431851 c48 t90 n/a N 
29034.0000 M396 380602 t81 c52 n/a N 
29063.0000 M397 591908 c34 c37 n/a N 
29114.0000 M398 570635 c34 w65 n/a N 
29226.0000 M399 335176 c34 p13 n/a N 
29274.0000 M400 173499 c31 p3 n/a N 
29362.0000 M401 832195 t99 p23 n/a N 
29405.0000 M402 574136 c43 w61 n/a N 
29513.0000 M403 392662 t91 w56 n/a N 
29619.0000 M404 388980 t89 c44 n/a N 
29648.0000 M405 206578 p24 p22 n/a N 
29765.0000 M406 411250 w57 p22 n/a N 
29809.0000 M407 363140 p9 c44 n/a N 
29871.0000 M408 94210 w60 t89 n/a N 
29897.0000 M409 56233 p20 p7 n/a N 
29987.0000 M410 629084 c37 w63 n/a N 
30043.0000 M411 555120 w71 w77 n/a N 
30096.0000 M412 325760 c44 c39 n/a N 
30154.0000 M413 265281 w68 t81 n/a N 
30187.0000 M414 764884 p2 w65 n/a N 
30245.0000 M415 137185 t92 c31 n/a N 
30320.0000 M416 486037 c46 t82 n/a N 
30416.0000 M417 70507 w76 c46 n/a N 
30485.0000 M418 367088 c30 c45 n/a N 
30512.0000 M419 606438 w62 p8 n/a N 
30540.0000 M420 801655 w70 w79 n/a N 
30568.0000 M421 871940 w67 c37 n/a N 
30679.0000 M422 656217 p29 w67 n/a N 
30721.0000 M423 375438 t89 c52 n/a N 
30837.0000 M424 858221 t97 w62 n/a N 
30954.0000 M425 841066 w75 p4 n/a N 
31051.0000 M426 896020 t94 w75 n/a N 
31163.0000 M427 910727 w78 p4 n/a N 
31247.0000 M428 394491 c31 c52 n/a N 
31298.0000 M429 151597 p16 w79 n/a N 
31335.0000 M430 639144 w73 t98 n/a N 
31384.0000 M431 221776 c48 c36 n/a N 
31430.0000 M432 182219 p21 p29 n/a N 
31543.0000 M433 241244 p10 c46 n/a N 
31624.0000 M434 470028 p19 p25 n/a N 
31651.0000 M435 76263 t93 p28 n/a N 
31733.0000 M436 462209 c30 p25 n/a N 
31770.0000 M437 801091 c34 c45 n/a N 
31828.0000 M438 873974 p17 t96 n/a N 
31857.0000 M439 791355 p25 c50 n/a N 
31905.0000 M440 54468 w78 p14 n/a N 
31968.0000 M441 677074 p21 c51 n/a N 
32009.0000 M442 157100 w74 t95 n/a N 
32061.0000 M443 269673 t94 p29 n/a N 
32179.0000 M444 798187 c33 c39 n/a N 
32239.0000 M445 490200 t81 w70 n/a N 
32299.0000 M446 995494 c37 t91 n/a N 
32385.0000 M447 838738 c49 c30 n/a N 
32462.0000 M448 92573 w59 c42 n/a N 
32569.0000 M449 412531 t82 t87 n/a N 
32670.0000 M450 59017 c31 w60 n/a N 
32776.0000 M451 904386 c38 c49 n/a N 
32895.0000 M452 358431 p11 t94 n/a N 
32986.0000 M453 872257 c30 p23 n/a N 
33035.0000 M454 446268 p20 t84 n/a N 
33083.0000 M455 747722 t88 p20 n/a N 
33178.0000 M456 556296 w74 p21 n/a N 
33243.0000 M457 142785 t83 c54 n/a N 
33302.0000 M458 769861 w70 p1 n/a N 
33337.0000 M459 374518 w72 c30 n/a N 
33448.0000 M460 187295 c43 w58 n/a N 
33527.0000 M461 199234 t93 c54 n/a N 
33622.0000 M462 818460 c31 w58 n/a N 
33665.0000 M463 316438 c37 t92 n/a N 
33777.0000 M464 603419 c38 t90 n/a N 
33843.0000 M465 875569 c40 t85 n/a N 
33870.0000 M466 711142 w67 w78 n/a N 
33987.0000 M467 669417 c49 c51 n/a N 
34046.0000 M468 630753 p19 t91 n/a N 
34092.0000 M469 511118 c44 p21 n/a N 
34181.0000 M470 894122 p19 c54 n/a N 
34231.0000 M471 563212 c48 p19 n/a N 
34306.0000 M472 954985 c50 t95 n/a N 
34343.0000 M473 893271 p16 p11 n/a N 
34428.0000 M474 588175 w74 c31 n/a N 
34489.0000 M475 515406 c39 w65 n/a N 
34594.0000 M476 765496 w77 c32 n/a N 
34699.0000 M477 364362 p21 w75 n/a N 
34799.0000 M478 344011 p10 p21 n/a N 
34852.0000 M479 830525 c49 t80 n/a N 
34954.0000 M480 830950 t87 t98 n/a N 
35043.0000 M481 121238 p11 w72 n/a N 
35102.0000 M482 424020 w58 c36 n/a N 
35127.0000 M483 950073 t93 w63 n/a N 
35217.0000 M484 648281 c39 p18 n/a N 
35288.0000 M485 718265 t92 p29 n/a N 
35352.0000 M486 391217 w73 c48 n/a N 
35407.0000 M487 341504 t89 t92 n/a N 
35491.0000 M488 625094 c38 c52 n/a N 
35536.0000 M489 277763 p18 p9 n/a N 
35652.0000 M490 864681 c53 w76 n/a N 
35744.0000 M491 822816 t88 p5 n/a N 
35786.0000 M492 530166 w63 w61 n/a N 
35826.0000 M493 108544 p16 c49 n/a N 
35926.0000 M494 316978 c48 p26 n/a N 
35966.0000 M495 236263 w72 w78 n/a N 
36019.0000 M496 750334 t97 t85 n/a N 
36118.0000 M497 581217 t96 c41 n/a N 
36185.0000 M498 844563 w61 w72 n/a N 
36271.0000 M499 910629 t99 p11 n/a N 
36324.0000 M500 541940 p18 t96 n/a N 
36433.0000 M501 215315 w77 w66 n/a N 
36484.0000 M502 897649 t91 p22 n/a N 
36518.0000 M503 629959 p29 p6 n/a N 
36587.0000 M504 627072 t93 c32 n/a N 
36655.0000 M505 638869 p10 p28 n/a N 
36773.0000 M506 473188 p20 c32 n/a N 
36811.0000 M507 395692 c43 w62 n/a N 
36861.0000 M508 695384 p4 p5 n/a N 
36964.0000 M509 649078 c48 t96 n/a N 
37071.0000 M510 851154 c54 c31 n/a N 
37121.0000 M511 551651 p24 p12 n/a N 
37150.0000 M512 889122 c42 t87 n/a N 
37175.0000 M513 274611 c35 w67 n/a N 
37265.0000 M514 334066 w68 p11 n/a N 
37372.0000 M515 973611 c35 c37 n/a N 
37406.0000 M516 854773 p9 p2 n/a N 
37459.0000 M517 331116 w76 p12 n/a N 
37561.0000 M518 680953 w57 p14 n/a N 
37611.0000 M519 832849 t98 t88 n/a N 
37671.0000 M520 965367 c32 c44 n/a N 
37758.0000 M521 389310 p27 w72 n/a N 
37824.0000 M522 701984 w74 p23 n/a N 
37855.0000 M523 421556 p27 c44 n/a N 
37966.0000 M524 989631 c49 c36 n/a N 
37991.0000 M525 960137 p14 c53 n/a N 
38077.0000 M526 945835 p15 c51 n/a N 
38117.0000 M527 998882 c38 w79 n/a N 
38158.0000 M528 414531 p18 w60 n/a N 
38188.0000 M529 742779 w71 c41 n/a N 
38241.0000 M530 57041 w75 t90 n/a N 
38271.0000 M531 533547 w76 t83 n/a N 
38369.0000 M532 499610 w63 p23 n/a N 
38483.0000 M533 439683 w65 c35 n/a N 
38518.0000 M534 793578 c54 p21 n/a N 
38625.0000 M535 992669 t92 p8 n/a N 
38735.0000 M536 974890 w66 c50 n/a N 
38784.0000 M537 443823 c50 c54 n/a N 
38817.0000 M538 222390 w73 p8 n/a N 
38903.0000 M539 807903 w59 c50 n/a N 
38963.0000 M540 72869 t82 p14 n/a N 
39032.0000 M541 634888 w66 c36 n/a N 
39129.0000 M542 977298 w58 c40 n/a N 
39244.0000 M543 242172 c40 p24 n/a N 
39288.0000 M544 573577 t88 p1 n/a N 
39330.0000 M545 674032 c49 c51 n/a N 
39363.0000 M546 186503 t96 w78 n/a N 
39435.0000 M547 699546 t83 t99 n/a N 
39500.0000 M548 159019 w59 p24 n/a N 
39615.0000 M549 515588 t87 c37 n/a N 
39675.0000 M550 771544 c36 t96 n/a N 
39765.0000 M551 380951 w65 c36 n/a N 
39829.0000 M552 810960 p16 p18 n/a N 
39888.0000 M553 646785 p20 c41 n/a N 
39962.0000 M554 248633 c54 c40 n/a N 
40019.0000 M555 841567 p7 t94 n/a N 
40072.0000 M556 355868 p0 t94 n/a N 
40104.0000 M557 503059 c41 p5 n/a N 
40188.0000 M558 907312 w68 c34 n/a N 
40220.0000 M559 971470 w65 w64 n/a N 
40313.0000 M560 605859 c47 c31 n/a N 
40410.0000 M561 758742 t86 p28 n/a N 
40488.0000 M562 480049 p9 w59 n/a N 
40560.0000 M563 706241 w64 t84 n/a N 
40616.0000 M564 433130 w58 p2 n/a N 
40669.0000 M565 86392 w56 p13 n/a N 
40702.0000 M566 57488 c46 c42 n/a N 
40745.0000 M567 51925 p3 w77 n/a N 
40783.0000 M568 168982 p21 c39 n/a N 
40849.0000 M569 158372 p4 w74 n/a N 
40958.0000 M570 574962 t83 p2 n/a N 
41025.0000 M571 288437 t85 p1 n/a N 
41060.0000 M572 657691 w61 c31 n/a N 
41127.0000 M573 70119 w57 p21 n/a N 
41197.0000 M574 270570 t93 w76 n/a N 
41240.0000 M575 397759 p0 w71 n/a N 
41281.0000 M576 746269 w57 p2 n/a N 
41400.0000 M577 401471 p20 p13 n/a N 
41465.0000 M578 194847 w69 c41 n/a N 
41553.0000 M579 555534 w66 t89 n/a N 
41627.0000 M580 497601 t96 c53 n/a N 
41676.0000 M581 824726 c43 w68 n/a N 
